('06/23/2022 18:16:13', 'INFO', 'ACTION  PAR root')
('06/23/2022 18:16:13', 'INFO', 'ACTION  PAR root')
('06/23/2022 18:16:13', 'INFO', 'ACTION  PAR root')
('06/23/2022 18:16:13', 'INFO', 'ACTION  PAR root')
('06/23/2022 18:16:13', 'INFO', 'ACTION  PAR root')
('06/23/2022 18:16:13', 'INFO', 'ACTION  PAR root')
('06/25/2022 11:04:23', 'INFO', 'Serveur start')
('06/25/2022 11:04:42', 'INFO', 'START threadsClients for 127.0.0.1 : 62838')
('06/25/2022 11:04:46', 'INFO', 'CONNECTION APPROUVE FOR root')
('06/25/2022 11:04:57', 'INFO', 'ACTION LISTE_ALL_USER PAR root')
('06/25/2022 11:09:37', 'INFO', 'Serveur start')
('06/25/2022 11:09:40', 'INFO', 'START threadsClients for 127.0.0.1 : 62915')
('06/25/2022 11:09:44', 'INFO', 'CONNECTION APPROUVE FOR root')
('06/25/2022 11:09:48', 'INFO', 'ACTION LISTE_ALL_USER PAR root')
('06/25/2022 11:09:52', 'INFO', 'ACTION LISTE_ALL_USER PAR root')
('06/25/2022 11:10:02', 'INFO', 'ACTION FTP_CLIENT PAR root')
('06/25/2022 11:14:17', 'INFO', 'ACTION CLOSE_CLIENT PAR root')
('06/25/2022 11:14:17', 'INFO', 'STOP CLIENT')
('06/25/2022 11:14:18', 'INFO', 'START threadsClients for 127.0.0.1 : 62992')
('06/25/2022 11:14:21', 'INFO', 'CONNECTION APPROUVE FOR root')
('06/25/2022 11:14:23', 'INFO', 'ACTION FTP_CLIENT PAR root')
('06/25/2022 11:16:02', 'INFO', 'ACTION CLOSE_CLIENT PAR root')
('06/25/2022 11:16:02', 'INFO', 'STOP CLIENT')
('06/25/2022 11:19:00', 'INFO', 'START threadsClients for 127.0.0.1 : 51336')
('06/25/2022 11:19:02', 'INFO', 'CONNECTION APPROUVE FOR root')
('06/25/2022 11:19:04', 'INFO', 'ACTION  PAR root')
('06/25/2022 11:19:29', 'INFO', 'START threadsClients for 127.0.0.1 : 51342')
('06/25/2022 11:19:31', 'INFO', 'CONNECTION APPROUVE FOR root')
('06/25/2022 11:20:47', 'INFO', 'ACTION CLOSE_CLIENT PAR root')
